,Temperature,Humidity,Wind Speed,Precipitation (%),Atmospheric Pressure,UV Index,Visibility (km),cloud_cover_code,season_code,location_code,weather_code
11382,25.0,90,15.0,93.0,1028.41,12,4.5,0,0,2,3
7121,42.0,59,2.0,12.0,1024.56,8,8.0,3,2,2,3
5292,35.0,22,1.5,14.0,1022.99,9,7.0,3,3,2,3
1577,23.0,64,7.5,47.0,1015.4,4,6.0,3,0,2,0
10212,56.0,88,14.5,101.0,1006.04,2,10.5,3,2,1,0
7819,17.0,69,9.5,82.0,1000.82,1,5.0,3,1,2,1
3341,64.0,73,26.5,76.0,1003.76,5,0.5,3,0,1,0
2007,-4.0,96,3.0,88.0,994.41,1,4.0,3,3,2,2
4587,31.0,73,24.0,86.0,1013.77,8,2.0,2,3,0,1
2516,41.0,50,8.5,6.0,1017.27,9,6.0,3,1,1,3
830,18.0,67,15.0,73.0,1005.72,0,4.5,3,0,1,1
11323,28.0,59,9.5,31.0,1006.59,1,8.5,3,0,1,0
11793,64.0,99,15.5,100.0,1026.25,10,10.5,0,1,1,3
6535,27.0,49,7.5,15.0,1025.36,6,9.5,0,2,1,3
1409,31.0,59,11.0,44.0,1002.75,4,8.0,3,2,2,0
930,28.0,79,7.0,23.0,1018.36,4,8.5,3,0,0,0
9685,-3.0,84,5.0,82.0,980.47,1,4.5,2,3,1,2
2646,1.0,66,11.0,52.0,997.99,0,4.0,2,3,1,2
1137,16.0,73,15.0,25.0,1001.1,3,8.0,3,0,1,0
6758,47.0,77,2.5,81.0,1026.25,0,11.0,0,3,2,3
6970,18.0,57,10.0,26.0,1009.45,3,9.0,3,0,0,0
10949,31.0,20,8.5,8.0,1028.11,6,9.0,0,0,1,3
7042,26.0,59,2.5,24.0,1013.68,4,8.5,3,3,1,0
5254,-10.0,63,8.0,53.0,987.04,0,1.5,3,3,2,2
9162,28.0,38,5.0,13.0,1021.23,11,7.5,3,3,1,3
3851,19.0,93,11.0,78.0,993.24,3,5.0,2,2,2,1
10455,14.0,68,13.0,63.0,992.68,3,4.0,2,0,1,1
9826,23.0,69,8.5,36.0,1015.73,1,9.0,2,2,0,0
26,17.0,72,7.5,62.0,1010.16,2,3.0,2,2,2,1
459,-2.0,68,9.0,97.0,988.46,0,4.0,2,3,2,2
10441,4.0,98,5.5,85.0,990.09,0,1.0,3,3,1,2
3384,32.0,59,3.0,15.0,1004.35,4,7.0,3,3,2,0
8395,29.0,52,8.0,11.0,1013.92,2,6.5,3,1,2,0
3087,12.0,69,9.0,26.0,1012.21,3,7.0,2,2,0,0
5953,12.0,99,8.0,66.0,994.05,0,1.0,3,1,2,1
11190,62.0,73,18.0,98.0,1012.04,0,8.0,3,3,0,3
10223,23.0,89,26.0,103.0,998.67,5,2.5,2,3,2,1
7698,31.0,98,11.0,51.0,995.61,3,2.0,2,0,2,1
7789,36.0,48,2.0,12.0,1027.45,10,8.0,3,0,1,3
2925,-7.0,90,17.5,69.0,993.98,0,3.0,2,3,2,2
1752,26.0,89,6.5,81.0,999.23,0,3.0,2,0,2,1
8114,38.0,88,1.5,100.0,1028.91,9,7.5,0,3,2,3
2325,25.0,83,18.5,98.0,993.63,3,4.0,2,0,1,1
11018,-4.0,92,25.0,107.0,985.91,12,1.0,3,3,1,2
11164,30.0,29,8.5,17.0,1010.77,9,7.5,3,0,2,3
12700,17.0,67,10.5,77.0,991.22,0,4.5,2,0,1,1
6762,10.0,94,14.0,62.0,996.24,3,4.0,2,2,1,1
8743,14.0,76,17.5,66.0,1009.05,0,2.0,2,3,2,1
12725,25.0,99,20.5,84.0,1005.78,12,3.0,2,0,1,0
2283,21.0,86,39.0,103.0,1002.57,14,1.0,2,2,1,1
4573,3.0,81,4.0,96.0,998.11,3,1.5,2,3,2,2
5741,-9.0,66,5.0,51.0,982.84,0,4.0,2,3,1,2
13003,10.0,51,4.5,31.0,1008.56,4,9.0,3,0,0,0
3460,17.0,68,10.0,44.0,1007.36,4,8.0,3,1,1,0
5250,-9.0,72,2.5,88.0,989.73,0,3.0,2,3,1,2
12653,30.0,75,7.5,65.0,992.54,0,1.5,2,0,1,1
9092,15.0,64,17.0,96.0,1009.87,3,3.0,2,2,2,1
387,28.0,59,9.0,37.0,1004.99,2,6.0,2,1,1,0
4593,16.0,69,13.5,26.0,1007.31,3,7.5,2,3,2,0
6578,11.0,59,2.0,38.0,1018.8,3,7.0,3,2,0,0
7555,1.0,92,19.0,60.0,999.31,0,4.0,2,3,1,2
3494,32.0,66,13.0,21.0,1006.06,3,7.0,3,2,1,0
171,17.0,72,20.0,56.0,990.4,0,4.0,2,2,2,1
5650,32.0,51,6.0,43.0,1007.13,4,7.0,3,1,1,0
9497,-9.0,99,6.0,56.0,992.69,1,4.5,2,3,2,2
3002,34.0,64,2.0,44.0,1005.61,2,7.0,2,1,0,0
2918,21.0,60,9.5,15.0,1002.17,2,7.5,3,2,2,0
7972,29.0,74,11.5,17.0,1019.18,1,7.0,3,2,2,0
4753,-2.0,61,7.5,95.0,1127.29,10,2.0,1,0,1,3
9301,31.0,69,3.0,28.0,1009.47,2,5.0,3,3,2,0
6068,10.0,64,11.0,57.0,896.76,3,19.0,3,1,2,3
3222,11.0,61,10.0,32.0,1005.8,3,8.0,3,0,2,0
8257,-5.0,98,6.0,95.0,998.71,1,4.0,2,3,2,2
3730,51.0,86,3.0,79.0,1029.16,11,1.0,3,1,0,3
12544,9.0,88,19.0,88.0,1001.62,1,1.0,2,0,0,1
7021,32.0,68,9.0,28.0,1006.39,1,9.0,3,1,1,0
8474,17.0,56,14.0,35.0,1009.79,4,6.5,3,0,0,0
4626,36.0,49,8.0,3.0,1027.76,9,9.0,0,3,1,3
11713,21.0,54,6.5,15.0,1005.7,3,7.5,3,1,2,0
11791,27.0,75,10.0,38.0,1131.21,7,12.5,1,1,1,3
4424,11.0,78,13.5,36.0,1004.15,2,6.5,3,1,1,0
11833,68.0,71,3.5,72.0,1021.56,2,4.0,0,0,1,3
1646,-7.0,99,2.5,53.0,997.66,0,4.5,2,3,1,2
1457,28.0,62,6.5,69.0,994.82,1,3.0,2,3,2,1
9473,44.0,25,7.5,7.0,1012.44,11,5.5,0,1,1,3
1986,-7.0,85,16.5,86.0,986.51,0,4.0,2,3,1,2
2237,4.0,83,6.0,67.0,984.43,0,4.5,2,3,1,2
9698,20.0,79,0.5,77.0,1006.32,7,6.5,3,2,0,0
8028,20.0,40,0.5,18.0,1028.73,9,7.0,0,1,2,3
12936,8.0,77,8.5,94.0,890.5,1,12.5,2,1,0,2
3809,32.0,34,2.0,4.0,1016.43,10,9.5,3,2,0,3
969,15.0,99,20.0,76.0,999.95,4,1.5,2,3,0,1
7696,32.0,88,5.5,97.0,1005.66,1,2.0,2,1,2,1
8810,34.0,54,14.0,19.0,1001.59,3,7.5,2,2,0,0
11409,34.0,61,6.5,27.0,1014.24,3,7.5,3,1,0,0
6090,29.0,77,3.5,22.0,1018.95,3,7.0,2,3,0,0
11532,-9.0,65,10.5,74.0,992.52,1,5.0,2,3,2,2
9485,31.0,82,17.0,57.0,1006.01,1,1.5,2,0,1,1
9769,39.0,35,8.5,0.0,1011.34,5,6.5,0,1,2,3
6199,1.0,95,7.5,80.0,994.31,1,3.5,2,3,2,2
3015,23.0,59,10.5,32.0,1008.34,3,6.5,3,3,1,0
3301,-4.0,73,0.0,81.0,892.31,14,15.5,2,2,1,3
4562,30.0,65,3.5,15.0,1001.44,3,9.0,3,0,1,0
9290,20.0,51,6.0,1.0,1028.24,11,7.5,3,3,0,3
2486,16.0,79,12.5,67.0,1019.59,1,4.5,2,1,1,1
373,42.0,39,7.5,17.0,1029.23,5,9.5,3,1,1,3
11045,26.0,21,6.5,19.0,1021.51,8,7.5,3,0,1,3
11543,25.0,78,2.5,43.0,1008.68,2,8.5,2,0,1,0
11331,-1.0,95,12.5,85.0,980.72,0,4.0,2,3,1,2
12954,42.0,46,1.5,17.0,1027.71,6,5.5,0,1,2,3
6132,25.0,23,1.0,8.0,1021.91,7,7.5,3,1,1,3
12439,-5.0,80,17.0,67.0,983.22,1,1.0,2,3,2,2
11948,4.0,62,2.0,90.0,999.56,0,3.5,2,3,1,2
1191,4.0,65,16.5,91.0,982.75,0,3.0,2,3,1,2
3595,28.0,76,11.5,44.0,1016.96,4,6.0,3,0,0,0
1319,22.0,54,6.5,2.0,1022.38,9,5.5,3,0,0,3
8124,37.0,74,12.0,73.0,1002.92,12,1.5,3,2,2,0
4837,-10.0,80,12.0,51.0,984.1,0,3.0,2,3,1,2
2559,25.0,91,15.0,77.0,1010.41,6,6.0,3,0,2,0
7689,29.0,87,16.0,56.0,1009.62,1,1.5,3,0,1,1
11096,-9.0,76,16.5,88.0,999.64,1,3.5,3,3,1,2
8409,35.0,43,2.0,15.0,1018.9,7,6.5,0,1,0,3
6421,21.0,99,16.0,60.0,1011.58,2,1.0,3,3,1,1
5369,24.0,57,12.5,14.0,1006.1,4,7.0,2,0,2,0
7245,1.0,73,5.5,78.0,982.35,1,1.5,2,3,2,2
4982,20.0,39,3.5,5.0,1024.56,11,9.0,0,0,1,3
3540,27.0,78,8.0,21.0,1019.21,2,6.5,3,0,0,0
1566,21.0,60,17.5,62.0,1010.93,0,3.5,3,1,2,1
5879,44.0,69,12.0,89.0,979.58,11,1.0,3,0,2,0
13116,-2.0,76,11.5,60.0,995.83,0,3.5,2,3,1,2
2249,3.0,93,5.0,81.0,983.51,1,2.5,2,3,1,2
10601,33.0,54,7.5,22.0,1008.64,3,8.5,2,2,1,0
9336,20.0,76,16.5,68.0,1000.91,2,5.0,2,0,0,1
1717,23.0,95,23.5,83.0,1003.38,7,6.5,3,2,1,0
2352,22.0,37,0.5,12.0,1014.29,10,5.0,0,3,1,3
1492,-7.0,94,3.0,98.0,994.79,0,4.5,2,3,2,2
12010,-7.0,98,17.5,60.0,981.02,1,3.0,2,3,1,2
9743,37.0,24,0.5,16.0,1021.34,10,9.0,0,0,2,3
6144,3.0,73,14.0,93.0,989.23,1,3.5,2,3,1,2
11257,0.0,91,17.0,88.0,982.87,1,3.5,3,3,2,2
602,-9.0,70,5.0,67.0,980.37,0,4.5,3,3,2,2
11107,13.0,66,13.5,58.0,1008.7,1,1.5,2,0,0,1
1400,2.0,62,9.0,71.0,998.28,0,1.0,2,3,1,2
5516,19.0,64,14.5,48.0,1004.4,2,6.5,3,2,2,0
1142,21.0,67,6.0,40.0,1014.39,3,6.5,3,0,0,0
8509,44.0,49,7.0,6.0,1025.25,5,8.5,0,2,2,3
34,29.0,69,3.0,15.0,1012.09,10,5.5,0,3,1,3
10751,26.0,51,13.5,37.0,1003.62,2,6.0,2,0,0,0
3544,60.0,91,15.0,100.0,1022.88,10,13.0,3,2,0,3
6188,37.0,25,2.5,12.0,1017.93,11,8.5,3,2,0,3
11377,-1.0,84,28.0,85.0,993.1,3,5.0,2,3,2,2
6387,39.0,38,14.5,75.0,1045.07,1,14.0,3,2,1,3
6401,-9.0,21,3.0,13.0,865.62,8,16.0,2,3,0,3
8156,34.0,69,12.0,19.0,1007.67,3,5.5,2,3,2,0
4482,30.0,51,6.0,17.0,1028.17,9,9.5,0,2,0,3
5107,-8.0,75,1.0,93.0,984.39,0,4.0,2,3,2,2
11884,-1.0,85,7.0,84.0,991.8,0,4.0,2,3,1,2
9378,17.0,34,3.5,92.0,1119.7,4,4.5,2,2,1,0
9628,-8.0,92,16.5,76.0,995.89,0,3.5,2,3,1,2
12630,25.0,68,4.0,42.0,1018.88,1,9.0,3,0,0,0
5281,-3.0,89,44.0,109.0,985.01,12,5.5,2,3,1,2
11851,44.0,108,24.0,77.0,1013.57,2,1.0,2,3,2,1
5757,-3.0,89,8.0,70.0,980.93,1,3.5,2,3,1,2
12784,21.0,60,12.0,38.0,1002.29,1,6.5,3,3,1,0
4572,21.0,70,11.0,53.0,1002.67,0,4.5,2,1,2,1
1551,30.0,107,20.5,84.0,1006.47,5,10.0,3,0,1,0
11328,25.0,81,17.0,89.0,1016.53,12,1.5,2,3,2,1
9174,41.0,66,7.5,13.0,1016.31,9,9.5,0,3,1,3
7501,34.0,91,7.5,78.0,1011.53,0,4.0,2,0,0,1
10660,25.0,74,14.0,42.0,1166.8,9,17.5,3,1,1,2
7960,-3.0,81,16.5,88.0,996.16,1,3.0,3,3,2,2
10586,10.0,54,9.0,25.0,1000.79,4,8.0,3,1,2,0
9857,-2.0,45,3.5,53.0,1165.74,1,0.5,1,0,1,1
1948,40.0,54,7.5,5.0,1016.0,10,6.0,0,1,2,3
5894,38.0,53,2.5,4.0,1018.34,5,7.5,0,2,1,3
3897,29.0,32,5.5,11.0,1021.55,6,5.5,0,3,0,3
4560,28.0,66,13.5,99.0,1008.1,0,5.0,2,0,1,1
997,28.0,91,8.5,86.0,1029.24,6,5.5,0,0,2,3
2756,70.0,106,14.0,87.0,1019.68,10,2.0,2,2,1,1
1449,32.0,62,0.5,1.0,1024.59,11,6.5,0,3,2,3
5226,12.0,90,18.5,85.0,1000.61,0,3.5,2,1,1,1
7850,31.0,68,2.5,17.0,1015.58,5,8.0,3,1,2,3
11228,22.0,65,12.5,85.0,1013.47,2,4.0,2,1,0,1
4920,22.0,54,0.5,15.0,1014.4,7,6.5,0,0,2,3
10480,24.0,98,12.5,52.0,1019.52,0,4.5,2,1,0,1
2685,12.0,67,8.0,27.0,1006.23,3,8.5,2,2,2,0
1690,20.0,57,9.5,5.0,1028.05,5,5.5,3,3,0,3
13199,-5.0,38,0.0,92.0,1015.37,5,10.0,2,0,2,1
2708,-10.0,66,13.0,62.0,999.54,0,4.5,2,3,2,2
6086,-2.0,96,13.5,77.0,990.92,1,4.5,2,3,1,2
1349,18.0,34,11.5,93.0,830.46,7,13.0,3,1,0,2
3382,40.0,28,2.5,13.0,1014.62,8,5.0,3,2,1,3
9067,33.0,64,10.0,26.0,1007.79,2,7.0,3,3,2,0
5282,29.0,62,2.0,38.0,1001.68,3,9.0,2,1,2,0
12164,11.0,72,11.5,13.0,1193.75,4,1.0,3,2,2,3
11217,30.0,39,3.0,15.0,1017.9,9,9.0,0,0,2,3
8020,0.0,69,4.0,86.0,989.23,1,1.5,2,3,1,2
10049,27.0,71,13.0,92.0,1013.28,1,2.5,3,1,0,1
4725,42.0,50,13.0,80.0,863.04,3,17.0,2,2,0,1
1012,26.0,63,12.5,82.0,991.38,0,2.0,2,0,1,1
11971,20.0,81,12.5,58.0,1000.42,1,5.0,2,3,0,1
8166,42.0,66,0.5,15.0,1014.67,5,5.5,0,2,2,3
11550,-7.0,95,6.0,74.0,985.77,1,4.0,2,3,2,2
9191,22.0,76,1.5,11.0,1014.14,4,7.5,3,1,0,0
9564,60.0,97,12.0,109.0,1020.01,5,7.5,3,3,1,3
5374,34.0,56,9.5,45.0,1016.19,3,6.0,3,0,0,0
10328,19.0,75,8.5,36.0,1015.06,4,7.5,3,3,2,0
3715,-4.0,94,16.0,56.0,984.98,0,4.0,2,3,2,2
698,3.0,89,7.0,82.0,998.9,1,3.0,2,3,2,2
12034,30.0,95,16.5,64.0,993.57,0,2.5,2,2,1,1
10787,40.0,46,6.5,15.0,1016.72,11,7.0,0,0,2,3
11738,-3.0,62,13.5,75.0,982.57,0,1.5,2,3,2,2
12462,39.0,61,5.0,14.0,1010.83,8,10.0,0,0,0,3
3712,34.0,68,11.0,59.0,1015.76,0,4.5,2,2,0,1
11191,26.0,58,10.0,14.0,1002.21,1,6.0,2,3,0,0
2956,23.0,70,10.5,12.0,1017.13,2,6.5,3,1,0,0
1870,11.0,69,11.5,52.0,1017.58,2,3.5,3,1,2,1
3318,26.0,35,4.0,16.0,1021.07,9,6.5,0,2,2,3
2848,24.0,61,14.5,31.0,1008.44,3,6.0,3,3,2,0
5428,22.0,58,3.5,6.0,1018.93,8,8.0,0,0,1,3
7241,18.0,75,13.5,106.0,1006.87,14,5.0,2,3,0,1
9872,1.0,64,3.5,87.0,981.65,0,2.5,2,3,1,2
12782,-2.0,99,31.5,89.0,991.12,4,0.5,2,3,2,2
8082,35.0,96,30.0,80.0,1015.2,3,1.5,2,3,0,1
4089,4.0,52,10.0,55.0,992.22,9,8.5,2,0,1,0
12353,-10.0,60,14.5,84.0,988.08,0,3.5,2,3,2,2
1786,-7.0,75,12.5,94.0,981.44,0,3.5,2,3,1,2
12938,29.0,59,5.5,4.0,1015.79,9,10.0,0,3,1,3
1765,34.0,57,3.0,1.0,1022.08,9,7.5,0,2,2,3
12599,26.0,20,3.5,1.0,1025.91,8,9.0,0,0,1,3
12999,-2.0,90,28.5,84.0,992.14,14,4.5,2,3,2,2
3819,17.0,66,11.5,29.0,1006.5,2,8.0,2,3,1,0
6525,23.0,74,6.0,71.0,1022.06,5,3.0,3,1,2,3
13054,4.0,62,0.5,70.0,981.03,1,2.0,3,3,2,2
8673,3.0,61,13.5,94.0,993.32,0,1.5,2,3,2,2
10145,34.0,69,14.5,27.0,1001.26,1,5.5,2,3,0,0
5518,28.0,43,1.5,4.0,1014.25,9,7.0,0,3,1,3
5244,24.0,94,9.0,86.0,1000.08,2,4.5,2,2,1,1
673,11.0,93,10.0,63.0,1007.74,3,5.0,3,0,2,1
8220,24.0,62,6.5,60.0,996.6,2,1.5,3,3,2,1
1500,34.0,95,15.5,90.0,1016.63,11,11.5,0,1,0,3
350,27.0,69,3.0,33.0,1018.37,4,6.5,2,1,0,0
3995,24.0,65,5.5,74.0,1005.97,1,2.5,3,3,1,1
7310,30.0,71,3.5,35.0,1009.33,1,7.5,3,3,0,0
6559,42.0,61,0.0,17.0,1016.89,11,9.0,0,2,0,3
1797,37.0,32,7.5,28.0,840.97,5,9.5,2,1,1,2
12416,-3.0,72,12.0,61.0,988.7,1,4.0,2,3,2,2
9114,3.0,82,9.0,56.0,982.78,1,3.5,2,3,1,2
6307,-9.0,78,12.5,84.0,999.78,1,3.0,2,3,1,2
4333,-9.0,96,0.5,50.0,996.35,0,4.0,2,3,2,2
12362,7.0,91,22.5,106.0,988.76,2,3.5,2,3,2,2
9434,22.0,36,3.0,4.0,1026.76,10,7.0,0,1,2,3
7414,12.0,52,10.5,37.0,1017.68,4,6.0,2,0,2,0
4,27.0,74,17.0,66.0,990.67,1,2.5,2,3,2,1
2212,16.0,69,3.0,21.0,1005.7,1,7.0,3,3,1,0
4712,20.0,40,7.5,6.0,1014.65,11,5.5,0,3,1,3
4390,-10.0,73,9.0,78.0,990.23,0,4.5,2,3,2,2
2013,43.0,60,7.5,15.0,1018.29,10,9.5,3,3,1,3
10998,-9.0,74,10.0,82.0,987.04,1,3.0,2,3,2,2
1376,14.0,79,5.0,69.0,1013.9,1,3.0,2,2,0,1
8036,1.0,65,19.0,59.0,980.18,1,2.0,3,3,1,2
1549,32.0,60,11.0,49.0,1007.94,1,6.5,3,0,2,0
9326,13.0,94,5.5,99.0,1006.07,2,2.0,3,3,0,1
3606,37.0,96,0.5,95.0,1011.57,5,2.5,0,1,1,3
3034,26.0,54,2.5,3.0,1014.16,11,6.5,0,0,2,3
1119,33.0,57,14.0,12.0,1014.75,2,6.0,2,2,2,0
1193,38.0,78,3.5,85.0,1187.42,0,5.0,2,3,0,2
7725,32.0,60,6.0,18.0,1017.23,3,6.0,3,3,0,0
1612,28.0,92,18.0,98.0,1004.7,0,4.5,2,3,1,1
6850,-11.0,75,3.0,56.0,989.74,1,17.0,1,1,2,0
6116,-14.0,83,15.0,108.0,999.33,11,4.0,2,3,1,2
12,12.0,59,10.5,25.0,1016.08,3,5.5,3,0,2,0
11460,37.0,36,5.5,16.0,1022.17,6,5.5,0,2,0,3
8167,-16.0,32,1.5,27.0,1142.83,3,11.5,3,2,2,1
4085,31.0,30,3.0,10.0,1018.48,7,9.0,0,1,2,3
12361,10.0,92,14.0,105.0,1013.97,5,3.0,3,2,0,1
7160,35.0,43,4.5,14.0,1022.66,7,8.5,3,2,2,3
4187,-7.0,69,17.5,53.0,980.21,0,2.0,2,3,2,2
7769,2.0,95,5.0,80.0,987.9,1,3.5,2,3,2,2
3205,29.0,66,17.5,63.0,1010.77,1,2.0,3,2,1,1
7570,31.0,65,15.0,96.0,1001.34,1,4.5,2,1,2,1
12573,42.0,63,7.0,15.0,1012.89,7,9.0,0,0,0,3
2368,19.0,80,6.5,92.0,993.42,3,1.5,2,0,2,1
429,35.0,48,2.5,16.0,1015.9,5,7.0,3,0,2,3
3044,21.0,69,6.0,45.0,1016.53,1,7.5,2,3,1,0
6607,33.0,86,13.0,65.0,1016.84,3,5.0,2,3,1,1
1509,21.0,33,3.0,3.0,1021.58,7,6.5,0,0,0,3
11402,15.0,63,9.0,23.0,1002.22,2,7.5,2,1,0,0
10476,29.0,50,8.0,27.0,1005.8,1,8.5,3,3,2,0
7599,54.0,71,19.5,70.0,1000.68,6,5.5,2,0,1,1
8335,31.0,63,12.5,37.0,1006.18,3,6.5,2,0,0,0
13080,-5.0,62,10.5,53.0,988.14,1,1.5,2,3,2,2
991,-8.0,80,15.5,84.0,985.8,1,3.0,2,3,2,2
4225,31.0,75,7.5,83.0,1003.4,1,3.0,2,0,2,1
289,-8.0,98,14.5,94.0,989.03,0,4.0,2,3,1,2
9334,18.0,49,8.0,96.0,1194.97,11,15.5,2,1,2,3
7903,27.0,62,8.5,18.0,1002.01,1,7.0,3,2,2,0
12163,18.0,76,10.5,44.0,1015.21,2,9.0,3,3,1,0
5289,20.0,72,2.5,41.0,1010.15,1,6.0,2,3,1,0
10267,13.0,94,9.0,67.0,994.66,0,1.5,2,3,2,1
160,18.0,88,15.5,88.0,997.61,1,3.5,2,3,1,1
8637,14.0,35,5.0,96.0,988.1,13,10.0,1,2,2,2
7715,26.0,40,9.0,8.0,1016.2,9,8.5,0,3,0,3
12847,3.0,95,19.5,108.0,980.86,5,2.0,2,3,2,2
9106,27.0,98,3.0,107.0,1002.98,5,4.0,3,2,0,0
3565,-2.0,96,14.0,59.0,994.55,1,4.5,2,3,1,2
5163,18.0,74,7.5,77.0,1000.15,0,2.0,3,0,0,0
3249,-5.0,83,22.0,87.0,993.89,9,2.5,3,3,2,2
13125,29.0,57,5.0,9.0,1018.93,10,8.0,0,2,2,3
10360,24.0,79,9.5,79.0,1000.98,3,4.5,3,1,2,1
10922,2.0,97,14.0,54.0,995.01,0,1.5,2,3,1,2
1762,31.0,60,8.5,30.0,1001.67,2,6.5,3,2,1,0
967,23.0,61,10.0,72.0,999.82,3,4.5,3,3,2,1
1507,-10.0,79,18.5,96.0,986.35,0,1.5,3,3,2,2
1224,3.0,60,18.0,61.0,990.68,1,2.5,3,3,1,2
4895,-3.0,70,7.0,82.0,997.59,1,3.0,2,3,1,2
581,19.0,59,1.0,25.0,1011.4,3,5.0,2,0,0,0
3226,22.0,76,7.5,41.0,1015.21,3,7.0,3,1,0,0
2128,28.0,81,15.5,68.0,995.69,1,3.5,2,0,1,1
9149,7.0,102,38.5,102.0,1019.16,9,3.0,2,2,1,1
9550,16.0,64,3.0,87.0,1109.78,14,3.0,3,2,2,3
11399,32.0,75,7.5,99.0,1003.49,1,1.5,3,3,0,1
1571,30.0,61,12.0,20.0,1018.24,1,5.5,3,0,0,0
6402,12.0,50,3.5,12.0,1015.19,1,6.5,3,1,2,0
7286,31.0,57,1.5,89.0,1008.97,2,13.0,3,3,0,3
12811,26.0,98,11.0,64.0,993.19,0,2.0,3,2,0,1
2353,25.0,85,9.0,57.0,997.46,3,3.5,2,0,1,1
3191,38.0,43,3.0,5.0,1018.91,7,8.0,0,0,0,3
2967,-4.0,60,19.0,75.0,996.27,0,1.0,2,3,1,2
6927,-7.0,83,5.0,75.0,986.81,1,3.5,2,3,1,2
9053,22.0,73,8.5,30.0,936.21,3,19.0,1,0,0,2
11248,1.0,103,35.5,72.0,984.91,13,3.0,2,3,1,2
8676,27.0,38,4.0,5.0,1020.48,9,9.0,0,1,1,3
5449,61.0,84,6.5,90.0,1026.41,13,4.5,0,1,0,3
9587,30.0,62,6.0,17.0,1026.47,6,10.0,3,0,2,3
1391,28.0,59,13.0,25.0,1010.5,3,8.0,3,2,0,0
1501,33.0,49,9.0,5.0,1022.71,9,9.0,0,2,0,3
7434,-5.0,21,11.0,25.0,1165.61,1,5.0,3,1,1,2
5660,17.0,39,1.5,40.0,1027.2,0,16.5,3,3,1,0
7745,24.0,77,14.0,40.0,1006.57,2,7.0,3,2,0,0
7129,33.0,60,4.5,14.0,1026.77,7,9.5,0,2,2,3
1404,4.0,88,10.0,86.0,998.67,0,1.5,2,3,2,2
10505,37.0,38,4.0,1.0,1023.97,8,8.5,3,2,2,3
450,25.0,24,7.5,18.0,1027.27,5,8.5,0,3,1,3
5313,21.0,53,10.0,36.0,1015.49,2,8.0,2,0,0,0
7369,20.0,75,14.5,82.0,993.42,1,4.0,3,0,1,1
6785,21.0,96,16.0,56.0,1019.2,2,2.5,3,2,2,1
1807,29.0,25,0.5,6.0,1017.11,8,10.0,0,0,1,3
7932,22.0,33,3.0,16.0,1029.91,6,8.5,0,0,2,3
3290,38.0,106,1.0,81.0,1012.66,9,8.5,0,0,0,3
3491,23.0,66,11.0,23.0,1017.69,2,5.0,2,3,1,0
