,Temperature,Humidity,Wind Speed,Precipitation (%),Atmospheric Pressure,UV Index,Visibility (km),cloud_cover_code,season_code,location_code,weather_code
11680,16.0,53,11.5,31.0,1015.88,3,6.5,3,2,0,0
8771,16.0,51,7.0,23.0,1012.29,3,8.0,3,2,0,0
5973,66.0,74,6.0,107.0,1016.37,0,4.0,0,0,2,3
2400,12.0,95,15.0,80.0,996.32,3,3.5,2,3,1,1
9626,38.0,27,7.5,14.0,1017.69,6,6.5,0,3,1,3
9654,14.0,70,16.0,92.0,1012.86,0,4.5,2,0,1,1
8717,4.0,91,6.5,68.0,988.51,1,4.5,3,3,2,2
1810,22.0,63,6.5,58.0,1007.89,1,3.0,2,0,2,1
3184,28.0,55,12.0,79.0,1082.99,7,11.0,2,0,0,0
8437,27.0,24,6.5,4.0,1028.18,8,5.5,0,0,1,3
2919,27.0,71,13.0,25.0,1011.47,3,6.0,2,0,2,0
9510,31.0,66,9.0,71.0,1006.12,1,4.0,3,0,2,1
2945,22.0,71,12.5,84.0,990.67,0,3.5,3,0,2,1
10340,53.0,108,20.0,96.0,1012.64,2,1.5,0,0,1,3
4456,1.0,72,2.5,75.0,992.94,0,4.5,2,3,1,2
4400,-10.0,76,16.0,99.0,992.93,0,4.0,3,3,1,2
11189,14.0,50,8.0,14.0,1011.71,4,8.5,3,0,0,0
11049,10.0,75,0.5,44.0,1015.69,1,5.5,2,0,1,0
12134,51.0,95,11.0,87.0,1016.52,9,8.0,0,1,0,3
12482,22.0,38,2.5,11.0,1024.93,11,7.5,0,1,2,3
5330,19.0,61,11.0,33.0,1011.79,3,5.0,2,2,1,0
1014,46.0,76,28.5,108.0,1000.36,4,2.5,2,0,2,1
288,-7.0,89,1.0,63.0,993.79,1,4.0,2,3,2,2
11520,14.0,64,12.0,45.0,1000.04,4,5.5,3,1,2,0
12415,11.0,71,17.0,52.0,997.13,0,3.0,2,3,1,1
4040,37.0,54,4.0,16.0,1019.37,11,8.0,3,3,1,3
9977,43.0,33,9.0,69.0,930.93,10,14.5,2,3,0,0
4524,11.0,36,2.0,71.0,894.31,14,11.0,1,0,2,3
11899,32.0,63,14.0,84.0,835.87,9,4.5,1,2,1,1
2337,0.0,80,17.0,86.0,981.8,1,1.5,2,3,1,2
4761,27.0,81,7.5,71.0,1008.87,5,6.0,3,1,1,0
11649,18.0,73,17.0,97.0,1013.07,2,3.0,2,3,0,1
3260,12.0,61,5.5,50.0,1017.93,3,1.5,2,1,0,1
6610,16.0,65,12.5,27.0,1146.34,8,15.0,1,3,1,1
7162,29.0,73,2.5,22.0,1003.09,1,9.0,3,2,1,0
66,25.0,89,1.5,87.0,1017.16,11,6.5,3,2,2,3
11161,65.0,94,17.5,71.0,1019.9,2,3.5,2,0,0,0
7560,-11.0,92,4.0,80.0,994.8,7,2.0,2,3,1,2
11560,-9.0,70,8.5,89.0,992.17,0,1.5,2,3,2,2
4824,3.0,98,13.0,95.0,986.23,0,2.0,2,3,1,2
5609,12.0,70,10.5,73.0,993.83,2,1.0,2,0,2,1
7870,34.0,29,9.0,5.0,1029.86,11,8.5,0,2,0,3
10208,-9.0,61,3.5,51.0,985.96,0,2.5,2,3,2,2
10563,-10.0,73,4.0,72.0,998.67,0,2.5,2,3,1,2
10281,23.0,57,9.0,4.0,1027.74,9,8.0,0,2,0,3
7991,6.0,25,13.5,38.0,1081.01,12,16.0,2,0,0,1
9287,-8.0,87,19.5,60.0,996.69,0,4.0,3,3,2,2
2595,21.0,92,16.5,63.0,1009.79,2,3.5,2,2,0,1
2894,31.0,52,12.5,17.0,1019.17,2,5.5,2,3,0,0
1667,10.0,81,11.5,75.0,1006.82,3,3.5,3,2,1,1
6429,25.0,82,19.5,86.0,1009.16,2,2.0,2,1,2,1
9834,-8.0,105,9.0,96.0,989.9,0,2.0,2,3,2,2
656,-8.0,68,11.0,76.0,989.03,0,3.5,2,3,2,2
53,-1.0,87,14.0,78.0,984.11,0,4.0,2,3,1,2
6506,22.0,97,7.5,73.0,1008.16,2,2.0,2,3,0,1
11068,-4.0,90,1.0,72.0,991.72,0,3.0,2,3,2,2
2908,30.0,64,0.5,17.0,1007.7,4,6.0,2,3,1,0
5819,2.0,97,18.0,94.0,989.09,1,3.5,2,3,1,2
9247,27.0,33,8.0,45.0,1092.59,11,12.5,3,3,1,0
10202,21.0,52,0.0,42.0,1001.57,3,8.5,3,1,1,0
1614,10.0,87,12.5,57.0,993.1,3,5.0,2,3,0,1
13064,-9.0,86,9.5,64.0,989.12,1,4.5,2,3,1,2
4696,2.0,98,13.5,54.0,990.51,1,4.0,3,3,1,2
7005,-3.0,76,12.0,63.0,999.15,0,2.0,2,3,2,2
4728,16.0,62,7.5,74.0,1009.72,3,5.0,3,1,1,1
10106,4.0,70,1.0,61.0,992.37,1,2.0,2,3,2,2
2226,3.0,97,3.5,91.0,999.35,1,4.5,3,3,2,2
3640,22.0,51,8.0,49.0,1014.92,3,5.0,3,0,1,0
5725,30.0,58,4.5,1.0,1023.16,11,6.5,0,3,0,3
9163,-6.0,75,9.0,99.0,986.01,0,4.0,2,3,1,2
5583,-3.0,80,14.0,78.0,980.79,1,1.5,3,3,2,2
9222,12.0,83,15.5,64.0,1008.83,3,3.5,2,0,0,1
10190,24.0,78,2.0,32.0,1001.51,4,7.5,3,1,2,0
3707,16.0,56,3.0,23.0,1003.92,1,8.0,2,0,2,0
12786,26.0,24,5.5,4.0,1019.73,10,9.5,0,3,2,3
12066,41.0,39,1.0,11.0,1014.21,10,6.0,0,1,2,3
1189,27.0,54,1.0,13.0,1009.82,2,5.5,3,2,0,0
2893,22.0,76,6.5,44.0,1019.85,3,8.0,2,3,1,0
4691,-3.0,96,10.0,54.0,995.3,1,4.5,2,3,1,2
998,-10.0,89,9.5,93.0,982.68,0,3.5,3,3,2,2
11748,20.0,60,5.5,37.0,1006.18,2,8.0,2,1,0,0
5412,24.0,72,14.0,87.0,1002.27,2,2.5,2,1,0,1
2015,24.0,72,21.0,73.0,1011.05,5,9.0,3,0,0,0
4340,41.0,60,3.0,57.0,1029.67,14,11.0,3,3,1,2
7275,26.0,73,2.5,34.0,1001.41,3,8.0,2,3,1,0
819,29.0,75,11.5,14.0,1010.79,1,9.0,3,3,1,0
3337,-3.0,73,22.5,105.0,984.53,2,1.0,2,3,2,2
8817,19.0,22,0.5,75.0,1191.94,12,9.0,3,1,0,0
8231,26.0,51,14.5,41.0,1001.36,4,5.5,3,1,2,0
6476,11.0,73,9.5,39.0,1019.63,2,8.0,2,1,2,0
5140,0.0,97,14.0,91.0,996.84,1,5.0,3,3,1,2
13169,-1.0,91,5.5,74.0,991.36,0,4.0,3,3,1,2
5001,36.0,54,3.5,10.0,1021.7,6,7.5,0,1,0,3
3414,-9.0,68,15.5,83.0,995.49,0,4.0,2,3,2,2
8467,10.0,60,15.0,24.0,1014.13,3,8.0,2,2,0,0
9660,18.0,75,6.5,50.0,1016.67,3,2.0,3,2,1,1
3095,30.0,34,9.5,5.0,1021.16,11,6.5,0,1,1,3
9273,46.0,21,5.5,57.0,1139.02,0,7.5,2,3,0,3
3961,24.0,72,5.5,38.0,1009.38,1,9.0,3,1,1,0
2167,31.0,57,1.5,23.0,1007.31,2,7.5,2,3,2,0
5134,13.0,108,10.0,103.0,1002.59,14,5.0,3,3,2,0
6597,-8.0,65,7.0,90.0,990.02,0,2.0,3,3,1,2
12733,21.0,66,9.0,41.0,1005.77,4,6.0,2,3,0,0
1972,32.0,78,8.0,59.0,993.87,2,2.0,2,0,1,1
9139,45.0,23,1.0,32.0,945.41,2,2.5,1,3,0,3
12073,-18.0,86,33.5,98.0,993.66,9,1.5,2,3,1,2
9288,16.0,68,13.0,32.0,1009.79,3,8.0,3,3,1,0
3610,30.0,80,17.5,54.0,991.7,3,4.5,2,3,0,1
2390,26.0,62,18.5,51.0,1011.16,1,1.5,3,1,2,1
8157,-16.0,58,10.0,36.0,1004.13,14,17.5,1,0,1,0
1648,22.0,24,8.0,3.0,1029.3,8,10.0,0,1,0,3
11475,1.0,98,6.0,65.0,999.58,1,3.0,2,3,1,2
2203,31.0,78,3.5,40.0,1008.57,2,8.0,2,3,2,0
7038,45.0,23,3.0,73.0,999.13,0,7.0,2,0,2,2
4029,9.0,106,5.0,107.0,1007.51,6,3.5,2,0,1,0
11896,26.0,71,8.0,54.0,821.83,4,11.0,2,0,0,2
9722,35.0,47,10.0,8.0,1010.17,7,9.5,3,2,2,3
2885,13.0,71,13.0,48.0,1002.48,2,5.5,3,0,1,0
8691,-9.0,84,12.5,74.0,990.03,0,1.5,2,3,2,2
12563,33.0,94,13.5,67.0,997.77,3,4.5,2,1,0,1
372,-3.0,81,6.0,87.0,985.5,0,4.5,2,3,2,2
6659,22.0,77,13.5,47.0,1008.99,4,6.0,3,0,1,0
8552,26.0,70,4.0,13.0,1014.35,2,6.0,3,1,2,0
9508,11.0,78,10.5,23.0,1013.21,2,7.5,2,2,1,0
7902,44.0,30,9.5,19.0,1020.11,5,10.0,0,3,1,3
4307,28.0,72,14.0,73.0,1005.12,1,1.0,3,2,0,1
11178,34.0,40,5.0,5.0,1018.37,9,7.0,0,0,1,3
12336,51.0,96,14.0,98.0,1023.18,3,8.0,0,2,2,3
7525,46.0,29,14.5,18.0,1071.92,6,6.0,1,0,0,2
1023,20.0,61,18.0,58.0,1018.79,1,4.5,2,2,0,1
10666,19.0,86,13.0,82.0,1002.78,3,1.0,3,3,0,1
5581,12.0,79,17.5,99.0,1006.53,1,1.5,2,1,0,1
11936,2.0,63,9.0,81.0,986.13,0,4.0,3,3,2,2
4299,25.0,65,18.0,72.0,1000.77,1,4.5,2,2,2,1
2822,11.0,74,13.5,35.0,1005.99,1,8.0,2,3,1,0
9134,25.0,37,9.5,19.0,1023.12,6,9.5,0,2,0,3
11284,-2.0,74,0.5,58.0,984.23,1,3.0,2,3,1,2
1174,24.0,51,1.0,11.0,1016.66,11,6.0,0,1,1,3
3509,32.0,31,12.0,29.0,1063.71,7,6.0,3,0,0,3
7998,24.0,45,1.5,22.0,1035.56,6,19.5,1,0,0,1
5044,21.0,56,8.5,18.0,1015.83,4,6.5,3,3,0,0
2832,31.0,62,8.0,97.0,1003.98,3,4.5,2,1,0,1
8724,43.0,60,3.5,4.0,1016.0,8,5.0,3,1,0,3
9514,-2.0,80,17.5,72.0,986.43,1,2.0,2,3,1,2
5296,-4.0,79,16.0,69.0,989.65,0,4.5,2,3,2,2
5921,28.0,26,3.0,13.0,1021.16,11,8.5,0,1,1,3
3849,-6.0,65,7.5,62.0,997.59,0,1.5,2,3,2,2
10018,18.0,59,1.5,46.0,1197.2,14,6.0,1,1,0,0
1038,26.0,88,7.5,92.0,992.28,1,4.0,2,1,0,1
10695,30.0,61,3.5,47.0,1002.5,3,7.0,3,2,2,0
7034,-7.0,71,15.5,70.0,981.62,1,4.5,3,3,1,2
867,-2.0,101,19.5,101.0,980.83,0,5.0,3,3,1,2
3242,-9.0,76,15.5,59.0,980.94,1,4.0,2,3,1,2
6335,32.0,56,12.0,35.0,1003.57,3,6.5,3,0,2,0
6002,32.0,63,12.5,57.0,1004.74,3,1.0,2,3,2,1
13097,31.0,90,7.5,73.0,1019.65,8,4.0,2,0,1,0
4800,-7.0,62,1.0,59.0,982.28,0,2.5,2,3,2,2
911,21.0,41,14.5,56.0,902.72,4,16.5,1,2,1,0
7041,2.0,78,13.0,35.0,811.67,0,8.5,2,0,1,1
8103,42.0,28,14.5,15.0,938.78,7,2.0,1,1,1,2
848,21.0,61,6.0,17.0,1019.35,3,6.5,2,0,1,0
12273,13.0,23,12.0,52.0,1099.46,0,1.0,1,3,1,1
6495,-21.0,91,22.0,74.0,995.7,8,0.5,2,3,1,2
9620,-8.0,89,8.0,91.0,986.67,1,2.5,2,3,1,2
13056,17.0,68,10.0,54.0,991.09,3,4.0,2,1,2,1
4689,34.0,76,5.5,66.0,995.6,3,5.0,2,3,1,1
2701,27.0,73,4.5,38.0,1013.74,1,6.5,3,0,1,0
1804,-5.0,96,4.0,84.0,995.31,0,1.5,2,3,2,2
3780,19.0,56,8.5,38.0,1011.34,2,7.0,3,2,2,0
5927,4.0,67,0.5,80.0,988.05,1,3.0,2,3,1,2
3150,17.0,78,6.5,68.0,997.11,0,1.5,2,3,0,1
9122,34.0,74,7.0,93.0,995.75,1,2.0,2,3,0,1
12728,4.0,81,5.5,96.0,985.69,1,2.0,2,3,2,2
11153,34.0,55,2.5,35.0,1002.57,1,9.0,2,1,2,0
8387,43.0,39,2.0,19.0,1022.58,8,6.5,0,2,1,3
2980,43.0,69,3.0,17.0,1018.13,10,7.0,3,1,0,3
5403,19.0,76,12.5,35.0,1017.26,4,8.0,3,2,1,0
8910,29.0,76,34.0,70.0,995.92,9,2.5,2,1,1,1
7755,20.0,44,9.0,3.0,1010.29,9,5.5,3,0,2,3
3232,27.0,61,8.0,21.0,1005.11,1,7.5,2,1,2,0
7865,40.0,49,3.0,26.0,914.11,12,10.5,2,3,2,1
184,39.0,54,0.0,3.0,1024.65,8,9.5,0,0,1,3
1764,15.0,76,9.0,81.0,1019.12,1,4.5,2,3,1,1
9851,40.0,52,3.5,3.0,1028.94,7,6.0,0,3,2,3
8940,30.0,60,12.0,44.0,1018.78,2,7.5,3,2,2,0
10672,-4.0,73,16.0,91.0,995.19,0,2.5,2,3,2,2
7144,37.0,27,3.0,5.0,1014.53,5,8.0,0,3,0,3
6656,-8.0,99,16.0,90.0,987.61,0,3.5,2,3,1,2
4769,23.0,94,27.5,91.0,1002.5,2,1.5,2,1,1,1
4928,2.0,75,7.5,105.0,986.74,10,1.0,2,3,2,2
645,22.0,69,11.5,26.0,1000.43,4,6.5,2,2,1,0
6503,27.0,40,2.5,12.0,1013.41,7,8.5,3,2,2,3
4323,60.0,106,21.5,101.0,1012.16,10,4.0,3,0,2,1
10319,1.0,95,15.5,74.0,998.79,1,3.0,2,3,2,2
4086,26.0,61,6.0,31.0,1006.26,2,7.0,2,1,1,0
1078,18.0,62,12.0,87.0,1016.92,2,5.0,2,0,0,1
3312,22.0,51,3.0,2.0,1019.86,5,8.0,0,3,1,3
6345,59.0,88,12.5,103.0,1014.6,0,4.5,3,0,2,3
10184,19.0,53,8.0,16.0,1011.29,4,8.0,2,3,0,0
7806,26.0,105,35.0,85.0,1003.65,7,4.0,2,2,1,1
954,19.0,82,2.0,106.0,1006.7,5,5.5,3,0,0,0
10916,39.0,50,9.5,8.0,1013.68,7,8.0,0,2,1,3
1013,22.0,67,4.0,45.0,1011.7,2,7.0,2,2,1,0
2386,28.0,66,18.5,94.0,1004.71,2,1.5,3,0,2,1
2120,26.0,99,19.5,89.0,996.13,3,2.5,2,2,1,1
3505,32.0,64,15.5,96.0,1019.47,0,3.5,2,0,2,1
5539,32.0,45,9.0,10.0,1028.35,11,7.0,0,1,1,3
10812,2.0,97,9.5,77.0,992.75,11,5.0,2,3,1,2
7530,60.0,92,11.5,75.0,1020.28,12,7.0,0,3,2,3
2808,23.0,78,13.5,12.0,1006.08,2,5.0,3,0,1,0
10893,26.0,73,7.0,92.0,1016.65,3,2.5,3,2,1,1
5657,23.0,30,5.0,83.0,888.58,12,8.5,3,3,0,0
7333,24.0,60,6.0,7.0,1028.33,6,5.0,0,2,2,3
4544,49.0,76,24.0,104.0,993.0,5,2.0,2,2,0,1
7127,32.0,94,28.0,82.0,994.93,13,4.5,3,3,2,1
4362,29.0,28,7.5,15.0,1010.11,11,8.5,0,0,2,3
4931,1.0,94,2.5,80.0,991.0,4,1.0,2,3,2,2
6666,38.0,57,7.0,6.0,1014.62,11,7.0,0,0,0,3
11675,33.0,66,8.0,70.0,1006.37,1,2.5,2,2,0,1
2965,-10.0,94,14.5,88.0,989.37,1,1.0,3,3,2,2
12427,22.0,47,8.5,15.0,1014.59,6,7.0,0,1,2,3
6232,23.0,53,4.0,15.0,1013.46,10,5.5,0,3,0,3
12583,36.0,107,15.5,101.0,1008.87,3,3.0,2,1,1,0
4470,73.0,75,16.5,97.0,1006.15,7,4.0,2,1,2,1
2745,24.0,89,31.0,98.0,1013.05,1,5.0,3,0,2,1
11895,25.0,62,6.5,11.0,1015.62,11,6.5,0,1,1,3
96,23.0,88,11.5,65.0,1000.74,1,5.0,2,3,2,1
9285,43.0,59,1.5,5.0,1012.11,10,6.0,0,0,0,3
12381,15.0,62,6.5,24.0,1014.04,3,9.0,3,3,0,0
6065,3.0,76,19.0,96.0,982.05,1,3.0,2,3,2,2
2842,16.0,66,9.0,23.0,1016.22,2,6.5,3,2,1,0
4386,30.0,46,4.5,14.0,1014.22,6,9.5,0,2,0,3
2141,31.0,78,10.0,95.0,995.76,3,3.5,3,1,1,1
9018,-9.0,88,17.0,79.0,981.05,1,1.5,2,3,2,2
12730,25.0,79,12.0,79.0,1014.71,0,4.0,3,2,2,1
9651,15.0,70,9.0,47.0,1013.5,1,7.0,2,2,2,0
4444,22.0,51,5.0,20.0,1017.45,3,6.5,3,1,2,0
2268,34.0,74,9.0,57.0,1005.97,1,3.0,2,1,0,1
12824,13.0,67,5.5,17.0,1013.24,3,5.5,3,1,2,0
2677,-19.0,75,1.0,72.0,988.25,10,2.0,2,3,1,2
10534,0.0,70,6.0,90.0,990.81,1,1.5,2,3,2,2
577,2.0,80,12.5,93.0,987.85,1,1.5,2,3,1,2
426,32.0,68,6.0,1.0,1016.28,10,9.5,0,1,2,3
6928,30.0,37,14.5,20.0,952.28,11,3.0,2,1,0,2
1783,-9.0,72,6.0,66.0,993.68,1,4.0,2,3,2,2
1840,21.0,102,20.0,76.0,1019.41,14,1.5,2,1,0,0
1367,33.0,98,10.0,65.0,1019.95,3,3.0,3,0,2,1
7189,-6.0,23,11.0,40.0,1081.12,11,14.5,3,0,1,3
5795,25.0,59,3.5,22.0,1010.7,2,8.0,2,3,2,0
8060,35.0,68,1.5,9.0,1013.93,7,9.5,3,1,0,3
1288,-2.0,67,3.0,80.0,990.02,1,5.0,2,3,2,2
1816,31.0,58,15.0,46.0,1001.9,4,5.5,2,0,2,0
11419,15.0,68,8.0,45.0,1017.35,4,7.0,3,3,0,0
4174,28.0,30,2.0,18.0,1021.19,10,7.5,0,0,0,3
8442,-6.0,81,14.0,89.0,986.16,0,1.5,2,3,1,2
6201,-5.0,81,7.0,50.0,987.6,0,3.5,2,3,2,2
11864,19.0,61,13.5,22.0,1008.57,3,8.0,3,1,1,0
1171,44.0,67,1.5,8.0,1021.24,9,9.0,3,0,0,3
12509,31.0,59,8.5,73.0,914.79,6,12.5,2,1,2,1
1582,18.0,68,13.0,32.0,1006.26,3,5.5,3,2,1,0
12853,42.0,22,2.0,3.0,1028.54,9,6.0,3,0,2,3
2497,26.0,67,4.5,12.0,1012.11,3,6.0,2,0,0,0
8710,24.0,60,6.0,64.0,1017.52,2,4.0,2,0,0,1
12116,18.0,76,5.5,27.0,1005.5,4,5.5,3,0,1,0
7568,-6.0,82,13.5,99.0,998.56,1,2.0,2,3,1,2
12329,37.0,71,0.5,85.0,1009.67,13,1.0,2,2,1,0
10182,43.0,54,6.5,8.0,1012.91,9,6.5,3,3,0,3
5790,30.0,55,5.0,13.0,1024.27,9,6.0,3,0,2,3
6738,32.0,31,5.5,23.0,1059.6,12,3.0,1,1,0,0
8894,24.0,52,11.5,49.0,1019.99,2,6.0,3,3,2,0
8715,51.0,73,4.0,83.0,1021.12,2,7.5,0,0,2,3
12692,35.0,35,8.5,83.0,1135.1,0,6.5,1,0,2,1
10759,-9.0,84,2.0,94.0,984.17,1,1.5,3,3,1,2
8022,17.0,76,11.5,86.0,997.64,0,3.0,3,3,1,1
11482,-6.0,70,30.5,99.0,998.77,8,2.0,2,3,2,2
8143,32.0,39,2.0,9.0,1028.62,6,10.0,0,3,1,3
359,5.0,36,14.5,68.0,1195.34,1,16.0,1,0,1,1
7371,20.0,52,12.0,11.0,1013.17,2,6.5,2,0,2,0
8045,27.0,76,3.5,49.0,1053.93,5,11.5,3,1,1,1
1061,33.0,74,5.5,93.0,993.4,1,4.5,2,0,2,1
8784,13.0,57,10.5,29.0,1018.84,1,5.5,3,1,1,0
9411,34.0,64,4.5,3.0,1018.92,9,7.0,0,1,0,3
1428,21.0,94,17.5,81.0,1011.44,2,3.5,2,2,1,1
5766,94.0,73,6.0,70.0,1018.46,5,5.5,0,0,0,3
3481,28.0,65,13.0,86.0,1006.89,2,2.5,3,0,0,1
6395,29.0,24,6.5,3.0,1022.56,9,9.5,0,2,2,3
5205,0.0,98,2.5,55.0,984.3,1,3.0,2,3,1,2
5994,30.0,52,4.0,12.0,1003.84,2,8.5,3,3,2,0
9838,24.0,33,3.5,13.0,1013.48,10,8.0,0,0,0,3
5334,16.0,87,7.0,82.0,1001.69,13,10.5,2,3,2,0
7028,29.0,59,15.0,38.0,1010.16,1,6.5,3,2,1,0
6713,-7.0,82,16.0,92.0,989.51,1,4.0,2,3,2,2
7494,15.0,73,11.0,32.0,1000.13,4,6.5,3,1,1,0
8776,-6.0,61,7.5,67.0,985.62,1,2.0,2,3,1,2
3953,17.0,74,11.0,72.0,1017.47,0,1.0,2,0,0,1
9683,34.0,98,20.0,65.0,1000.76,3,1.5,2,2,2,1
220,22.0,61,8.5,13.0,1009.6,2,6.5,3,1,1,0
9094,14.0,53,10.0,29.0,1018.91,1,8.5,3,3,0,0
8005,-8.0,72,15.5,89.0,995.47,1,4.5,3,3,2,2
8383,2.0,86,14.5,81.0,985.58,0,4.5,2,3,2,2
8991,10.0,58,2.5,35.0,1010.16,2,5.5,2,3,1,0
4208,26.0,83,7.5,87.0,999.08,1,2.5,2,2,2,1
9784,33.0,84,6.0,71.0,1008.39,2,2.5,2,2,0,1
3697,38.0,64,9.5,19.0,1018.96,5,6.0,0,0,0,3
10579,44.0,40,4.0,7.0,1028.11,9,9.0,0,3,0,3
5442,26.0,56,7.0,1.0,1023.9,8,8.5,3,0,0,3
12571,10.0,63,14.0,74.0,1015.72,0,2.5,2,2,1,1
12397,35.0,55,4.0,51.0,917.59,8,17.5,3,2,2,1
3735,-12.0,20,4.5,12.0,1004.07,14,6.0,3,0,0,3
8702,37.0,60,9.0,5.0,1022.31,10,6.5,0,3,1,3
3313,-6.0,96,20.0,78.0,984.51,1,1.0,3,3,2,2
8928,34.0,51,14.5,21.0,1016.97,4,6.5,3,2,1,0
2324,-9.0,63,9.0,79.0,981.1,1,2.5,2,3,1,2
564,24.0,94,5.5,58.0,999.28,2,1.5,2,3,0,1
2096,39.0,34,3.0,14.0,1022.95,10,6.0,0,2,0,3
13087,0.0,69,14.5,91.0,993.71,0,4.5,3,3,1,2
1771,12.0,69,6.0,90.0,1005.47,2,1.5,2,0,2,1
8872,0.0,31,14.5,45.0,1060.43,6,19.5,2,3,0,1
6606,-2.0,83,33.0,89.0,988.92,13,1.5,2,3,2,2
11088,29.0,64,8.0,76.0,992.26,3,4.0,2,0,1,1
5600,30.0,61,7.5,6.0,1019.19,10,9.5,3,1,1,3
1219,22.0,86,17.0,65.0,1018.21,0,1.0,2,3,0,1
2119,2.0,98,35.5,96.0,982.31,4,0.5,2,3,2,2
12490,43.0,28,2.0,0.0,1027.55,7,8.0,0,1,1,3
1283,24.0,75,4.0,13.0,1017.97,3,8.5,3,0,2,0
2996,30.0,67,1.0,43.0,1007.76,1,8.5,3,0,2,0
3315,42.0,67,4.5,7.0,1027.05,11,5.0,0,2,1,3
2987,-22.0,79,16.0,95.0,985.57,1,4.0,3,3,1,2
10550,28.0,71,30.0,87.0,1018.69,12,5.0,3,3,1,1
5198,27.0,98,17.5,76.0,1019.41,3,4.0,3,3,0,1
4986,32.0,61,10.5,44.0,1003.43,4,8.0,3,3,2,0
5782,16.0,94,13.0,66.0,1008.99,1,2.5,2,1,2,1
1888,43.0,63,2.0,16.0,1026.88,10,5.0,0,1,2,3
4212,42.0,45,5.0,11.0,1023.51,11,7.5,0,1,0,3
8682,30.0,77,11.5,76.0,1015.64,1,3.0,3,0,0,1
7168,13.0,69,1.5,32.0,1005.33,4,5.0,3,0,0,0
9156,17.0,82,16.5,68.0,1005.12,0,2.0,2,3,1,1
8229,28.0,74,5.5,53.0,1005.49,2,4.5,2,2,0,1
3813,-5.0,96,2.0,93.0,991.2,1,3.0,2,3,1,2
3574,27.0,70,12.5,59.0,995.11,2,4.0,2,0,1,1
10187,25.0,73,1.0,74.0,1051.94,5,5.5,2,1,2,3
